EuropeanMale,Montreal,Canada, male , 35-49 ,"['montreal', ' quebec', 'quebec city', ' quebec', 'tirgu mures', 'paris', 'pilon', 'new york city', ' ny', 'mamaia', 'trois-rivieres', ' quebec', 'havana', 'halifax', ' nova scotia', 'varadero', 'venice']","[' canada', ' romania', ' france', ' cuba', ' usa', ' italy']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,4 of 5 stars,"If you like terraces, restaurants, Formula 1 goers, crowds and being in downtown Montreal, this street is FOR YOU.
I sometimes go there, but it is not easy to find parking, obviously. It is a small street, therefore it's crowded at all times in the summer.
It is closed off to traffic during the Formula 1 event. Parties are also held there for the event.
Enjoy !"
eviekur,Montreal,Canada,,,"['montreal', ' quebec']","[' canada', 'hamilton parish']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,5 of 5 stars,"
great restaurants. great ambience!! Wonderful spot especially during Spring, Summer and Fall. Fun just to walk around and maybe stop for a drink.
"
cmekde,Wilmington,North Carolina, male , 25-34 ,"['montreal', ' quebec', 'reykjavik', 'quebec city', ' quebec', 'budapest', 'luquillo', 'wilmington', ' nc', 'oslo', 'prague', 'bridgetown', 'grindavik', 'new orleans', ' la']","[' canada', ' iceland', ' hungary', ' puerto rico', 'quebec', ' usa', ' norway', ' czech republic', ' barbados']","[u'We are a 911 dispatcher and an orthodontic records assistant , both 30 and both full time students. All this translates in us working harder than any human being should have to, and we try to get out of the country any and every chance we get. We love to travel, it is one of our 2 hobbies as a couple, traveling and our animals- 2 American Eskimo Spitzes named Angel and Boo; A Collie/Cattle Dog mutt named Seraphina, a Brittany named Amy, and 2 cats-Jupiter and Venus. ']","Crescent Street, Montreal"," Landmarks/ Points of Interest
",,4 of 5 stars,"This street, including the intersection at Maisonneuve, has enough pubs, bars, bistros, and family restaurants to make every kind of person feel at home. Beautifully lit with all the business signs leading up and down hill, even gas lamps outside some, even the outside atmosphere is welcoming. The Burger Bar is by far our favorite restaurant there....everything was fresh, the salad with the citrus/garlic dressing was mouth watering, and the poutine was something I will dream about for years to come. Burger was perfectly cooked and incredibly juicy-even the bun looked homemade and was incredible. Winston Churchill pub was OK at best, but we were not terribly impressed, food wise at least. If you are anywhere on Maisonneuve and hungry, make your way to Crescent Street."
cps66,montreal,montreal, male , 35-49 ,"['havana', 'montreal', ' quebec', 'varadero', 'kuala lumpur', 'santiago de cuba', 'pemuteran', 'manila', 'bangkok', 'ko phi phi don', 'playa larga', 'langkawi', 'siem reap']","[' cuba', ' canada', ' malaysia', ' indonesia', ' philippines', ' thailand', ' cambodia']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,5 of 5 stars,"rescent street is a fantastic one stop destination for all things party from the great bars and restaurants to the comfortable and well priced hotels and not to forget the trendy condom shop on the corner. Crescent street offers it all beautiful people amazing parties that spill over into the closed street at certain times of year and an atmosphere rarely seen elsewhere, i highly recommend it."
traverlerz,Montreal,Canada,,,"['montreal', ' quebec', 'laval', ' quebec', 'albany', ' ny', 'athens', 'baden-baden', 'banff national park', ' alberta', 'barcelona', 'bari', 'boston', ' ma', 'calgary', ' alberta', 'fira', 'frankfurt']","[' canada', ' usa', ' greece', ' germany', ' spain', ' italy']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,5 of 5 stars,"
Street in the heart of montreal where all the good pubs and bistros are. Filled with people in summer time.
"
jrain10,Gothenburg,Sweden, female , 18-24 ,"['budapest', 'las vegas', ' nv', 'montreal', ' quebec', 'playa paraiso', 'gothenburg', 'mazatlan', 'nassau', 'orlando', ' fl', 'playa del carmen', 'vancouver', ' british columbia']","[' hungary', ' usa', ' canada', ' mexico', ' sweden', ' bahamas']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,4 of 5 stars,"
Perfect for an evening with friends who want to check out several of Montreal's pubs and bars. Good food and beer to be found.
"
kevinep,Montreal,Canada, male , 35-49 ,"['phnom penh', 'siem reap', 'montreal', ' quebec', 'sihanoukville', 'kampong cham', 'pointe claire', ' quebec', 'sainte-anne-de-bellevue', ' quebec']","[' cambodia', ' canada']","[u'I enjoy the thrill of travel and the excitement of new discoveries whether they be the sites, the people or the local cuisine - all of which are key to an awesome trip.. ']","Crescent Street, Montreal"," Landmarks/ Points of Interest
",,3 of 5 stars,"
Its a street in downtown Montreal known for people watching, restaurants and pubs especially in the spring and summer months when the locals take advantage of outdoor seating and the city is alive with festival after festival and accented by an abundant number of tourists as well.
"
LeSeelleur,Montreal,Montreal,,,"['montreal', ' quebec', 'mont tremblant', ' quebec', 'new york city', ' ny', 'brooklyn', ' ny', 'ottawa', ' ontario', 'fredericton', ' new brunswick', 'montego bay', 'negril', 'toronto', ' ontario']","[' canada', ' usa', ' jamaica']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,3 of 5 stars,"
This area is always busy, lots of life especially during the summer. Montreal has many wonderful places and streets to visit. This street is more for the younger crowd, so it depends what you are looking for.
"
justsara,,,,,"['montreal', ' quebec']",[' canada'],[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,2 of 5 stars,"
This street doesn't have many locals on it, mostly tourist. Nothing fun or exciting. No good food but lots of bars. Definitely wouldn't take any out of towners here unless we were in the area shopping.
"
8Chapel,Montreal,Canada, male , 25-34 ,"['montreal', ' quebec', 'new york city', ' ny', 'cartagena', 'reykjavik', 'southwest harbor', ' me', 'buenos aires', 'chicago', ' il', 'littleton', ' nh', 'poprad']","[' canada', ' usa', ' colombia', ' iceland', ' argentina', 'cinque terre', 'los lagos region', ' slovakia', 'transylvania']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,2 of 5 stars,"
Overrated. Good if you like tacky, overpriced nightlife
"
Pissedoffdad,Montreal,Canada,,,"['montreal', ' quebec', 'dorval', ' quebec', 'pointe claire', ' quebec', 'dollard-des-ormeaux', ' quebec', 'netanya']","[' canada', ' israel']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,5 of 5 stars,"
If you are into partying and meeting people, this is the place to be at night, check out other clubs on Bishop...do a pub crawl!
"
laficabella,montreal,montreal, female , 65+ ,"['montreal', ' quebec', 'new york city', ' ny', 'dartmouth', 'merida', 'hanoi', 'amiens', 'reims', 'fiesole', 'ho chi minh city', 'la fortuna de san carlos', 'progreso', 'brome', ' quebec']","[' canada', ' usa', ' uk', ' mexico', ' vietnam', ' france', ' italy', ' costa rica']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,3 of 5 stars,"Crescent street can be just okay or lots of fun depending on your age and interests. Lots happening in the summer; outdoor festivals etc with lots of music and stalls. Some places are hipper than others. You should decide which ones you like. Very crowded during Grand Prix weekend. Older people may find it too crowded during this period...in that case, Drummond/Peel might be better choices. More plugged in areas are in the plateau"
Coricia09,Montreal,Canada, female , 35-49 ,"['montreal', ' quebec', 'san miguel de allende', 'ottawa', ' ontario', 'mexico city', 'tepoztlan', 'cuernavaca', 'kingston', ' ontario', 'secaucus', ' nj', 'boston', ' ma', 'kissimmee', ' fl', 'london', 'orlando', ' fl']","[' canada', ' mexico', ' usa', ' uk']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,5 of 5 stars,"
Crescent Street is the place to be in the summer. It is lined with restaurants and bars, almost all with outdoor patios. The street is crowded from lunch to dinner and into the evening. The atmosphere is fun and exciting and the selection of restaurants is awesome!!
"
nitram1967,Mont-Saint-Hilaire,Canada,,,"['montreal', ' quebec', 'boucherville', ' quebec', 'laval', ' quebec']",[' canada'],[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,2 of 5 stars,"
Went to thursday. liked the spot, the atmosphere and the food choices. However the service was way too uptight for the type of restaurant. Please give the waiter a lesson on being casual. He doesn't seem to enjoy 2 persons having a long drink at 2 in the afternoon before eating something. Quite expensive for what you get.
"
FineTravellerNewYork,New York,New York,,,"['montreal', ' quebec', 'mount kisco', ' ny', 'quebec city', ' quebec', 'chappaqua', ' ny', 'lambertville', ' nj', 'rye', ' ny', 'armonk', ' ny', 'bedford', ' ny', 'brewster', ' ny', 'cabo san lucas', 'croton on hudson', ' ny', 'dorset', ' vt']","[' canada', ' usa', ' mexico']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,4 of 5 stars,"
This is where many restaurants, bars, sidewalk cafes are, right off of St. Catherine St. Weinstein & Gravanos is great for lunch.
"
StephaneB4,Sainte-Therese,Canada, , 35-49 ,"['montreal', ' quebec', 'orlando', ' fl', 'honolulu', ' hi', 'los angeles', ' ca', 'new york city', ' ny', 'quebec city', ' quebec', 'grand canyon national park', ' az', 'chambly', ' quebec', 'las vegas', ' nv', 'laval', ' quebec', 'myrtle beach', ' sc', 'niagara falls', ' ontario']","[' canada', ' usa']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,4 of 5 stars,"
Perfect place for blokes who don't wanna bother with the french language! Hey! why speak the same language has 90 % of the population when every one around you are bending down and waiting for your order oups wishes ... oups ... pleasures...oups ...?
"
Missy2206,Ottawa,Canada,,,"['las vegas', ' nv', 'ottawa', ' ontario', 'toronto', ' ontario', 'montreal', ' quebec', 'alexandria bay', ' ny', 'dania beach', ' fl', 'hollywood', ' fl', 'st. thomas', 'clayton', ' ny', 'gatineau', ' quebec', 'vaughan', ' ontario']","[' usa', ' canada', ' u.s. virgin islands']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,5 of 5 stars,"
This street boosts everything fun, eaterys, wonderful bars, great food choices, During the summer there are events that run on the street so it is fun to sit in one of the restaurants or bars and watch all the action.
"
goldylockx,Ottawa,Ottawa, female , 50-64 ,"['ottawa', ' ontario', 'montreal', ' quebec', 'paris', 'holguin', 'cayo ensenachos', 'london', 'bath', 'montebello', ' quebec', 'madrid', 'rigaud', ' quebec', 'sintra', 'niagara falls', ' ny']","[' canada', ' france', ' cuba', ' uk', ' spain', ' portugal', ' usa']","[u""I love having a good time with friends and family and travelling to new places. I look for destinations that have luxurious surroundings at a good price. I will shop on the internet before I make my choice and I like to check with Trip Advisor for great tips before I go. I dine at places where the food must be better than what I can cook up. If it's not, then they're off my list. I stay at places that are better than home or at least comparable. I'm difficult with my choices, because at my age, I've earned the right to expect good service, quality and a great experience. ""]","Crescent Street, Montreal"," Landmarks/ Points of Interest
",,4 of 5 stars,"
Lively, busy, young, diverse area for nite life. You can party the nite away on this street and smile all the way to dreamland!
"
PritC,New York City,New York,,,"['montreal', ' quebec', 'prague', 'chuo', 'hiroshima', 'kyoto', 'puerto morelos', 'puerto plata', 'toshima', 'vienna']","[' canada', ' czech republic', ' japan', ' mexico', ' dominican republic', ' austria']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,5 of 5 stars,"
fun but def has a younger set of partiers. Would go to a better club next time
"
bayimc,Montreal,Montreal, male , 25-34 ,"['montreal', ' quebec', 'new york city', ' ny', 'east hampton', ' ny', 'brooklyn', ' ny', 'mont tremblant', ' quebec', 'chicago', ' il', 'akhisar', 'amelia island', ' fl', 'amsterdam', 'ankara', 'annecy', 'annemasse']","[' canada', ' usa', ' turkey', ' the netherlands', ' france']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,2 of 5 stars,"I have been living in Montreal for over three years now, I have been a student and a young professional in this city, and since the day I came, I find Crescent Street getting an attention it does not deserve.

Yes, there is a bunch of pubs, clubs, and restaurants on the street; though I feel like it caters to the 'drink to get drunk' guy, who desperately goes out to spend unreasonable amounts of money to meet with companions, etc. If you fit that bill, yes, Crescent Street may satisfy you, otherwise, stay away from it.

The only two times of the year that some credit may be given to the festivities on Crescent Street are: Grand-Prix Montreal (Formula 1) and St-Patricks day, when there are outside events that are happening, which are worth stopping by, if you love crowds that is..."
Sidonia2,Montreal,Montreal, female , 50-64 ,"['montreal', ' quebec', 'bolton landing', ' ny', 'brooklyn', ' ny', 'key biscayne', ' fl', 'lake george', ' ny', 'new york city', ' ny', 'albany', ' ny', 'alexandria', ' va', 'amsterdam', 'atlantic city', ' nj', 'aventura', ' fl', 'bal harbour', ' fl']","[' canada', ' usa', ' the netherlands']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,2 of 5 stars,"
There once were very good small shops and restaurants here - they have probably all gone down the 401 to Toronto.
"
bashkazi,,,,,"['montreal', ' quebec']",[' canada'],[],"Guides de Peche Montreal-Action, Montreal",,,5 of 5 stars,"
A great fishing experience with a great local guide. We had almost 6 hours of fishing. Caught a variety of fishes of different sizes. The guide was very organized and had a verity of fishing techniques and equipment. I would definitely recommend it to all.
"
palmtree81,Canada,Canada,,,"['vinales', 'akureyri', 'charlottetown', ' prince edward island', 'key west', ' fl', ""l'etang-du-nord"", ' quebec', 'montreal', ' quebec', 'new orleans', ' la', 'reykjavik']","[' cuba', ' iceland', ' canada', ' usa']",[],"Aerosport, Montreal",,,5 of 5 stars,"
We did a kite buggying excursion in the Magdalen Islands and had a blast! The office staff and instructors were very friendly and accommodating, and buggying was by far our favourite activity of the trip.
Highly recommend it to anyone looking for a fun afternoon!
"
rugratNewZealand,new zealand,new zealand, female , 50-64 ,"['blenheim', 'boston', ' ma', 'adelaide', 'hanoi', 'picton', 'havana', 'ho chi minh city', 'toronto', ' ontario', 'port antonio', 'montreal', ' quebec', 'wellington', 'christchurch']","[' new zealand', ' usa', ' australia', ' vietnam', ' cuba', ' canada', ' jamaica']","[u'ITravelling both within New Zealand and overseas is an on-going passion.\nI love being in different places and mixing with people from different cultures.\nHopefully, people who stay in our self-contained unit also enjoy this experience\nI am a Special Education Teacher and also teach English as a second language.\nMy other interests include running half-marathons,teaching English gardening, and being involved in community activities.\nFamily is also important and Having coffee with friends. ']","Yulhb caleche rides montreal canada, Montreal",,,5 of 5 stars,"
I loved this experience.
Our driver and horse were great.
Our Driver was very knowledgable and Major, his horse was well trained.
We were warm and cosy and there was plenty of opportunities for photos.
"
Luke_Branford,Essex,Essex,,,"['hastings', 'montreal', ' quebec', 'amsterdam', 'bansko', 'bratislava', ""cala d'or"", 'calpe', 'cologne', 'colombo', 'courchevel', 'cozumel', 'essaouira']","[' uk', ' canada', ' the netherlands', ' bulgaria', ' slovakia', ' spain', ' germany', ' sri lanka', ' france', ' mexico', ' morocco']",[],"Fishing Old Montreal, Montreal"," No Experience required, family, friends, colleagues, your catch is guaranteed (Walleye, Bass, Sturgeon monster, Musky, Carp and Northern Pike) The St-Laurence river is yours to discover, luxury boat, all equipment included with taxi service.(picnic lunch on an Island is available)Private Cruise",,5 of 5 stars,"
Whilst working in Montreal for 6 months, I was constantly looking for things to do to fill my time here, and one day when walking down by the harbour I noticed the Peche Vieux Montreal sign and thought I'd reignite my years old love of fishing, and got myself booked onto a day fishing trip.
Jean (owner, boat captain &...


More 


"
joylama,Central,NJ, male , 35-49 ,"['new york city', ' ny', 'washington dc', ' dc', 'london', 'montreal', ' quebec', 'philadelphia', ' pa', 'san francisco', ' ca', 'naples', ' fl', 'captiva island', ' fl', 'chicago', ' il', 'fort lauderdale', ' fl', 'edison', ' nj', 'flushing', ' ny']","[' usa', ' uk', ' canada']",[],"Fishing Old Montreal, Montreal"," No Experience required, family, friends, colleagues, your catch is guaranteed (Walleye, Bass, Sturgeon monster, Musky, Carp and Northern Pike) The St-Laurence river is yours to discover, luxury boat, all equipment included with taxi service.(picnic lunch on an Island is available)Private Cruise",,5 of 5 stars,"We often book a professional guide for a half day of fishing when we travel on family vacations. We were very fortunate to book with Jean in Montreal. He responds quickly via email and was able to set a date and arrange the license on our behalf and took a deposit via paypal.

His boat was located right in Old City with plenty of parking available nearby. The boat was very clean and comfortable. Jean took us on the river to fish for Sturgeon, Bass and Walleye. Everyone was able to catch fish and had a great time. Jean was patient guide and showed us the best way to fish the river and kept an eye out to make sure everyone was doing it right. He has a great personality and really knows where to find the fish.

As people who have fished with guides before, we would highly recommend a trip with Jean."
SophieLouka,Montreal,Canada,,,"['montreal', ' quebec']",[' canada'],[],"Kayak Sans Frontieres, Montreal",,,5 of 5 stars,"WOW! Quelle belle activit! Un incontournable! J'ai suivi un cours de dbutant avec milie Boivin! EXCELLENTE PROF! Belle nergie ! Bref, un succs garanti! Merci pour la belle exprience! ACTIVIT TOURISTIQUE DE L'T 2014 ASSUR!! :)"
drlhbl,Brewer,Maine, female , 35-49 ,"['montreal', ' quebec', 'south portland', ' me', 'bangor', ' me', 'quebec city', ' quebec', 'dover', ' nh', 'freeport', ' me', 'laurel', ' md', 'mashantucket', ' ct', 'new castle', ' de', 'portsmouth', ' nh', 'scarborough', ' me', 'alexandria', ' va']","[' canada', ' usa']",[],"Jean-Talon Market, Montreal"," Flea/ Street Markets
",,5 of 5 stars,"
Run don't walk to this awesome market...
Loved everything
Disliked nothing
Great food and local finds in Little Italy
"
123Wander,,,,,"['dunblane', 'montreal', ' quebec', 'new york city', ' ny', 'glasgow', 'broadway', 'leccio', 'london', 'pisa', 'san miguel de allende', 'southampton', 'terricciola']","[' uk', ' canada', ' usa', 'tuscany', ' italy', ' mexico']",[],"Bar a lunettes / Eyewear bar, Montreal",,,5 of 5 stars,"
Starved for a decent selection of eyewear, we were like kids in a candy store! Karine was a wonderful guide through the near overwhelming selection of glasses and helped us find a half-dozen of spectacular choices for each of us. We wanted them all, but finally narrowed our selection to 2 each. Bland, boring frames no more!
"
littlemissmontreal,Montreal,Canada, Female ,,"['montreal', ' quebec', 'riga', 'amsterdam', 'saint-simeon', ' quebec', 'kingston', ' ontario', 'montmagny', ' quebec', 'southwell', 'st. catharines', ' ontario', 'vaughan', ' ontario', 'west lulworth', 'agia paraskevi']","[' canada', ' latvia', ' the netherlands', 'newark-on-trent', ' uk', ' greece']",[],"Gallery Gora, Montreal",,,4 of 5 stars,"Came here with a group of friends recently for an enjoyable and informative evening at Gallery Gora. Joel the sommelier was the perfect host and a wealth of knowledge for his years! Certainly challenged my thinking on the geography of wine and deepened my knowledge of the science of wine tasting:-) The chocolates were heavenly (from Chocolatier Chloe...know where I'll be buying my special chocolates from now on:-) All in all, a fun night with friends thank you."
verypicky_11,Los Angeles,California,,,"['beverly hills', ' ca', 'montreal', ' quebec', 'los angeles', ' ca', 'coronado', ' ca', 'santa monica', ' ca', 'barcelona', 'calvia', 'las vegas', ' nv', 'toronto', ' ontario']","[' usa', ' canada', ' spain']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,5 of 5 stars,"If you're looking for a place to drink, eat and just sit back and people-watch, then the patio on Crescent are the right place. This street is nearly always busy. It has some good pubs (Wiston Churchill) and good restaurants (Pino).

If you're looking for nightlife, this is where the tourists hang out. There are a lot of college age people making rounds at the various bars and clubs.

A must see!

TIP: parking can be difficult. Try to look for reasonably priced parking on Ste-Catherine (away from the busiest part). There is usually parking on the street close by on Ste-Catherine (you can pay at the meter and update the meter if you decide to stay longer by using your phone -- just remember your parking number). It's only a few minutes to Crescent."
MrsL8281,Toronto,Canada,,,"['toronto', ' ontario', 'montreal', ' quebec', 'quebec city', ' quebec', 'barcelona', 'chicago', ' il', 'flint', ' mi', 'florence', 'sainte anne de beaupre', ' quebec', 'sorrento', 'acapulco', 'akumal', 'berlin']","[' canada', ' spain', ' usa', ' italy', ' mexico', ' germany']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,5 of 5 stars,"
This seemed like the happening place to be on a Fri/Sat night! Lots of clubs and pubs to check out! A little on the young side (18+) but overall a good vibe!
"
Marcia050,Montreal,Canada,,,"['istanbul', 'montreal', ' quebec']","[' turkey', ' canada']",[],"Vive la Difference, Montreal",,,5 of 5 stars,"
The toys made by artisans around the world are a hit with the children and their parents in our family. The most recent hit is a delightful horse that can be worn by a child. Although a gift for two-year old Benjamin, four-year old Madeline adopted it and cared for it from sunrise to nightfall.
"
McAttack,Montreal,Canada, male , 35-49 ,"['montreal', ' quebec', 'new york city', ' ny', 'rome', 'maiori', 'paris', 'tokyo', 'ravello', 'chambly', ' quebec', 'ko samui']","[' canada', ' usa', ' italy', 'amalfi coast', ' france', ' japan', 'tuscany', 'chaweng', ' thailand']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,2 of 5 stars,"As a local, I have to do a public service and tell people to stay away from this area. It's horrible. If you want bad food, scenesters of all ages, over crowded bars\restaurants, then by all means go. Other than that, this area is junk. Sure you have some savings spots, like below St-Catherine you can find a couple of fun pubs such as Hurley's and Brutopia, you can actually have a good meal if you go to Devi, and the best shish-taouk (Chicken Shawarma) in the city. Don't believe me? Maybe you'll believe the picture of the owner and Prime Minister Trudeau.

Instead of wasting time here, go to old montreal, Quartier Latin, Plateau, Mile End, anything but Crescent."
FiestaSun,Montreal,Canada, female , 25-34 ,"['montreal', ' quebec', 'miami beach', ' fl', 'varadero', 'kissimmee', ' fl', 'las vegas', ' nv', 'philipsburg', 'montego bay', 'negril', 'akumal', 'atlantic city', ' nj', 'anaheim', ' ca']","[' canada', ' usa', ' cuba', ' st maarten-st martin', ' jamaica', ' mexico', 'samana province']","[u""I'm a travel agent and travelling is my passion in life ! ""]","Crescent Street, Montreal"," Landmarks/ Points of Interest
",,4 of 5 stars,"
It's one of my favorite street where I go to eat or take a drink (or two) with friends, there is nice bars and clubs, the only problem there is the parking...
"
protocolski,Buffalo,New York,,,"['montreal', ' quebec', 'niagara falls', ' ny', 'north tonawanda', ' ny', 'valparaiso', 'athens', 'buffalo', ' ny', 'farellones', 'kusadasi', 'los andes', 'niagara falls', ' ontario', 'poggibonsi', 'rome']","[' canada', ' usa', ' chile', ' greece', ' turkey', ' italy']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,4 of 5 stars,"
If its your first time to Montreal go there. This is the other tourist mecca besides the old port, but this one is busiest at night. Crescent offers a lot of bars, clubs, restaurants, etc. During F1 weekend its a lot of fun, they close down the street and sponsers set up displays / booths etc. There is also a...


More 


"
TRAVELAGENTCHECKING,Montreal,Canada, female , 35-49 ,"['montreal', ' quebec', 'negril', 'laval', ' quebec', 'saint-constant', ' quebec', 'white house', 'atlanta', ' ga', 'banff', ' alberta', 'barbados', 'bern', 'boston', ' ma', 'burlington', ' vt', 'calgary', ' alberta']","[' canada', ' jamaica', ' usa', ' caribbean', ' switzerland']",[u'SANDALS GOLD Certified Specialist\n1 888 291 3519 x250 call for your next trip!\nBest arrangements in USD or CAD . I can help you decide .\nfor INCENTIVE Groups * Weddings * Family Reunions * Honeymoons *\nBeaches Resorts * GrandPineapple Resorts * RoyalPlantation * Villas '],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,5 of 5 stars,"
Like , to walk down it on a Sunday afternoon.
Like to have a cafe across the street and watch teh people go by.
For the new to Montreal and the visitor , Thursdays Upstairs to eat on the terrace or Winnies next door, are THE Terraces .
And NewTown at the corner of deMaisonneuve &Crescent.
Its all in 2blocks,...


More 


"
Danip07,Toronto,Canada,,,"['flagstaff', ' az', 'montreal', ' quebec', 'phoenix', ' az', 'sault ste. marie', ' ontario']","[' usa', ' canada']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,5 of 5 stars,"
If you want to see the real nightlife of Montreal walk down Crescent after 11 pm. Lots of great people watching and small pubs that are lively and friendly!
"
data638,Furlong,Pennsylvania, male , 25-34 ,"['florence', 'longyearbyen', 'sighisoara', 'budapest', 'milan', 'montreal', ' quebec', 'stockholm', 'venice', 'eger', 'jost van dyke', 'manheim', ' pa', 'philadelphia', ' pa']","[' italy', ' norway', ' romania', ' hungary', ' canada', ' sweden', ' british virgin islands', ' usa']",[u'I love to travel strange and exotic places! '],"Jean-Talon Market, Montreal"," Flea/ Street Markets
",,4 of 5 stars,"Because they had so much tasty looking food!! We were looking for something to kill time before dinner and so hopped the orange line from downtown to Jean Talon Station. We popped out and were a little confused that there was no market. It turns out it's not right at the station, once you exit you have to walk southwest toward Rue Saint - Denis. Once you cross it go two more blocks and hang a left. You've found the market. Not only do they have mountains of fresh produce but stands that sell everything from apple cider to full meals. We picked up some syrup and cider for far cheaper then some of the stores in the downtown were offering it. Even if you don't plan on buying produce, many of the vendors offer free samples to enjoy. I also got a freshly made smoothie from the stand that was in the center of the market and it was awesome! If you want something fun and free to do in Montreal, come check out this market."
tbpusa,,,,,"['montreal', ' quebec', 'montevideo', 'bermuda', 'granada', 'london', 'rio de janeiro', 'antwerp', 'buenos aires', 'stuart', ' fl', 'tamarindo', 'memphis', ' tn']","[' canada', ' uruguay', ' caribbean', ' nicaragua', ' uk', ' brazil', ' belgium', ' argentina', ' usa', ' costa rica', 'hamilton parish']",[],"Jean-Talon Market, Montreal"," Flea/ Street Markets
",,4 of 5 stars,"
If you're looking to get some free snacks -- look no further than this market! They have samples of fruits, veggies, nuts -- everything they are selling you can try and not feel guilty about not buying. They're are also some musical acts roving around. This is a place where locals go to do their shopping and a fun one...


More 


"
globalbouncer,toronto,ON, female , 35-49 ,"['montreal', ' quebec', 'toronto', ' ontario', 'campbellford', ' ontario', 'chicago', ' il', 'haliburton', ' ontario', 'lily dale', ' ny', 'marmora', ' ontario', 'niagara falls', ' ontario', 'aix-en-provence', 'algonquin park', ' ontario', 'barcelona', 'grafton', ' ontario']","[' canada', ' usa', ' france', ' spain']",[],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,3 of 5 stars,"
This street tends to be over-priced and touristy- a great place to go if you don't feel comfortable in the more French areas because it is definitely an Anglo area. But it's also boring in that way- pubs are just like they are everywhere else. If you really want to enjoy the real Montreal, go elsewhere.
"
TripHunt58,New York,New York,,,"['santa fe', ' nm', 'montreal', ' quebec']","[' usa', ' canada']",[],"Jean-Talon Market, Montreal"," Flea/ Street Markets
",,4 of 5 stars,"This is an outdoor market in the Italian neighborhood of Montreal. If you like markets and local foods, it's a very fun excursion. And you can eat your way through a good portion of it. We had raw oysters at an oyster bar at one end of the market. Then my husband had a fresh mushroom soup at a stall and I had pork tacos at another. All of it was delicious. A fun way to have lunch while you're site seeing."
FactChick,Montreal,Canada, female , 50-64 ,"['montreal', ' quebec', 'lake mburo national park', 'bwindi impenetrable national park', 'hanoi', 'entebbe', 'queen elizabeth national park', 'windsor', ' ontario', 'bangkok', 'kibale national park', 'ko phangan', 'orlando', ' fl', 'phu quoc island']","[' canada', ' uganda', ' vietnam', ' thailand', ' usa']",[],"Jean-Talon Market, Montreal"," Flea/ Street Markets
",,5 of 5 stars,"
This is a regular visit for me. A true foodies market. It has everything. True reflection of Montreal as a city that just cannot be beat for restaurants and food. Healthy, local and multi cultural. Love, love this place. Best from May to mid November when produce is at its best!
"
reina_darknova,Montreal,Canada, female , 25-34 ,"['barcelona', 'montreal', ' quebec', 'valladolid', 'vienna', 'ottawa', ' ontario', 'london', 'madrid', 'florence', 'ghent', 'dublin', 'toronto', ' ontario', 'istanbul']","[' spain', ' canada', ' austria', ' uk', ' italy', ' belgium', ' ireland', ' turkey']",[],"Espace Nomad Spa, Montreal",,,5 of 5 stars,"
After researching different spas in Montreal, I decided to go to Space Nomad (located in Boul St-Laurent with Rue Villeneuve) and have their Wonder Woman Package for my 30th birthday. And it was indeed a very good decision!
The moment you enter you are warmly welcomed and you feel the relaxing and exotic atmosphere. I barely had to wait 5...


More 


"
iamcarson,Maryland,Maryland,,,"['baltimore', ' md', 'montreal', ' quebec', 'chicago', ' il', 'portland', ' or', 'la paz', 'cusco', 'memphis', ' tn', 'cockeysville', ' md', 'oklahoma city', ' ok', 'rehoboth beach', ' de', 'saint louis', ' mo', 'vancouver', ' british columbia']","[' usa', ' canada', ' bolivia', ' peru']",[],"Espace Nomad Spa, Montreal",,,5 of 5 stars,"
My boyfriend and I wanted post-marathon massages and we were not disappointed. The space had a nice feel and our massage therapists were great. Also the online appointment was really easy!
"
